id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
41447,2024-07-30 08:05:49.901879,5.0,2.0,3.5,1.0,1
41446,2024-07-30 08:05:48.883438,6.1,2.8,4.0,1.3,1
41445,2024-07-30 08:05:47.873423,5.1,3.3,1.7,0.5,0
41444,2024-07-30 08:05:46.866254,5.9,3.2,4.8,1.8,1
41443,2024-07-30 08:05:45.854934,6.0,2.2,4.0,1.0,1
41442,2024-07-30 08:05:44.848326,4.4,3.0,1.3,0.2,0
41441,2024-07-30 08:05:43.842636,6.5,3.2,5.1,2.0,2
41440,2024-07-30 08:05:42.833586,4.9,3.6,1.4,0.1,0
41439,2024-07-30 08:05:41.822864,6.9,3.1,5.1,2.3,2
41438,2024-07-30 08:05:40.814298,5.0,3.3,1.4,0.2,0
41437,2024-07-30 08:05:39.790927,4.7,3.2,1.6,0.2,0
41436,2024-07-30 08:05:38.745857,6.3,2.5,4.9,1.5,1
41435,2024-07-30 08:05:37.732909,5.9,3.0,5.1,1.8,2
41434,2024-07-30 08:05:36.721360,5.2,3.4,1.4,0.2,0
41433,2024-07-30 08:05:35.674128,7.4,2.8,6.1,1.9,2
41432,2024-07-30 08:05:33.593479,5.4,3.9,1.3,0.4,0
41431,2024-07-30 08:05:32.558994,5.7,2.5,5.0,2.0,2
41430,2024-07-30 08:05:31.548364,6.5,2.8,4.6,1.5,1
41429,2024-07-30 08:05:30.546064,6.4,2.9,4.3,1.3,1
41428,2024-07-30 08:05:29.539403,5.1,3.5,1.4,0.2,0
41427,2024-07-30 08:05:28.526082,6.3,2.8,5.1,1.5,2
41426,2024-07-30 08:05:27.507740,6.7,3.1,4.4,1.4,1
41425,2024-07-30 08:05:26.502025,5.1,3.4,1.5,0.2,0
41424,2024-07-30 08:05:25.490539,6.5,3.0,5.5,1.8,2
41423,2024-07-30 08:05:24.475641,5.7,2.9,4.2,1.3,1
41422,2024-07-30 08:05:23.465468,5.5,4.2,1.4,0.2,0
41421,2024-07-30 08:05:22.455729,5.8,2.7,5.1,1.9,2
41420,2024-07-30 08:05:21.444210,6.3,2.5,5.0,1.9,2
41419,2024-07-30 08:05:20.431246,5.8,2.7,3.9,1.2,1
41418,2024-07-30 08:05:19.426958,6.1,3.0,4.6,1.4,1
41417,2024-07-30 08:05:18.416425,5.1,3.5,1.4,0.2,0
41416,2024-07-30 08:05:17.406430,6.7,3.0,5.2,2.3,2
41415,2024-07-30 08:05:16.396946,6.1,2.6,5.6,1.4,2
41414,2024-07-30 08:05:15.383824,6.3,3.3,6.0,2.5,2
41413,2024-07-30 08:05:14.375837,4.4,2.9,1.4,0.2,0
41412,2024-07-30 08:05:13.369326,5.2,3.5,1.5,0.2,0
41411,2024-07-30 08:05:12.358805,6.7,3.1,4.4,1.4,1
41410,2024-07-30 08:05:11.349879,5.1,3.4,1.5,0.2,0
41409,2024-07-30 08:05:10.340768,4.7,3.2,1.6,0.2,0
41408,2024-07-30 08:05:09.334495,6.3,2.3,4.4,1.3,1
41407,2024-07-30 08:05:08.326027,4.8,3.1,1.6,0.2,0
41406,2024-07-30 08:05:07.317951,5.1,3.5,1.4,0.3,0
41405,2024-07-30 08:05:06.305134,4.4,3.2,1.3,0.2,0
41404,2024-07-30 08:05:05.298257,7.2,3.0,5.8,1.6,2
41403,2024-07-30 08:05:04.288704,6.4,2.9,4.3,1.3,1
41402,2024-07-30 08:05:03.280684,5.1,3.5,1.4,0.3,0
41401,2024-07-30 08:05:02.273005,5.9,3.0,4.2,1.5,1
41400,2024-07-30 08:05:01.258949,5.6,3.0,4.5,1.5,1
41399,2024-07-30 08:05:00.255105,5.7,2.6,3.5,1.0,1
41398,2024-07-30 08:04:59.247702,5.0,3.0,1.6,0.2,0
41397,2024-07-30 08:04:58.229195,5.6,3.0,4.1,1.3,1
41396,2024-07-30 08:04:57.220528,4.8,3.4,1.6,0.2,0
41395,2024-07-30 08:04:56.212251,7.4,2.8,6.1,1.9,2
41394,2024-07-30 08:04:55.197906,6.6,3.0,4.4,1.4,1
41393,2024-07-30 08:04:54.176324,6.7,3.1,4.7,1.5,1
41392,2024-07-30 08:04:53.171822,6.0,3.4,4.5,1.6,1
41391,2024-07-30 08:04:52.158305,7.7,2.6,6.9,2.3,2
41390,2024-07-30 08:04:51.142000,4.6,3.1,1.5,0.2,0
41389,2024-07-30 08:04:50.098860,5.5,2.4,3.8,1.1,1
41388,2024-07-30 08:04:49.060257,5.5,2.4,3.8,1.1,1
41387,2024-07-30 08:04:48.053075,6.0,2.7,5.1,1.6,1
41386,2024-07-30 08:04:47.043080,6.7,3.1,4.7,1.5,1
41385,2024-07-30 08:04:46.034799,4.9,2.4,3.3,1.0,1
41384,2024-07-30 08:04:45.027896,6.7,3.0,5.0,1.7,1
41383,2024-07-30 08:04:44.018266,7.7,3.8,6.7,2.2,2
41382,2024-07-30 08:04:43.009078,5.5,2.4,3.7,1.0,1
41381,2024-07-30 08:04:42.002272,5.5,2.5,4.0,1.3,1
41380,2024-07-30 08:04:40.993439,4.4,2.9,1.4,0.2,0
41379,2024-07-30 08:04:39.988177,6.3,2.8,5.1,1.5,2
41378,2024-07-30 08:04:38.985718,6.4,3.1,5.5,1.8,2
41377,2024-07-30 08:04:37.976817,4.8,3.0,1.4,0.1,0
41376,2024-07-30 08:04:36.971167,7.7,3.0,6.1,2.3,2
41375,2024-07-30 08:04:34.035353,6.2,3.4,5.4,2.3,2
41374,2024-07-30 08:04:33.014187,6.7,2.5,5.8,1.8,2
41373,2024-07-30 08:04:32.006414,5.4,3.9,1.7,0.4,0
41372,2024-07-30 08:04:31.001116,5.7,2.9,4.2,1.3,1
41371,2024-07-30 08:04:29.991306,4.5,2.3,1.3,0.3,0
41370,2024-07-30 08:04:28.980037,6.5,3.0,5.8,2.2,2
41369,2024-07-30 08:04:27.957066,5.1,3.7,1.5,0.4,0
41368,2024-07-30 08:04:26.933365,4.8,3.0,1.4,0.3,0
41367,2024-07-30 08:04:25.926069,5.5,4.2,1.4,0.2,0
41366,2024-07-30 08:04:24.913621,6.7,3.1,4.7,1.5,1
41365,2024-07-30 08:04:23.903372,4.8,3.1,1.6,0.2,0
41364,2024-07-30 08:04:22.892781,6.5,3.2,5.1,2.0,2
41363,2024-07-30 08:04:21.880684,6.1,2.8,4.0,1.3,1
41362,2024-07-30 08:04:20.874419,4.7,3.2,1.6,0.2,0
41361,2024-07-30 08:04:19.868484,5.6,2.8,4.9,2.0,2
41360,2024-07-30 08:04:18.860989,6.4,2.8,5.6,2.1,2
41359,2024-07-30 08:04:17.850677,4.9,3.1,1.5,0.2,0
41358,2024-07-30 08:04:16.837827,5.0,3.0,1.6,0.2,0
41357,2024-07-30 08:04:15.813729,6.3,3.3,6.0,2.5,2
41356,2024-07-30 08:04:14.803094,6.7,3.0,5.0,1.7,1
41355,2024-07-30 08:04:13.782963,6.4,3.2,5.3,2.3,2
41354,2024-07-30 08:04:12.762067,5.8,2.7,4.1,1.0,1
41353,2024-07-30 08:04:11.748557,5.5,4.2,1.4,0.2,0
41352,2024-07-30 08:04:10.742600,5.8,2.7,5.1,1.9,2
41351,2024-07-30 08:04:09.733494,5.1,3.8,1.6,0.2,0
41350,2024-07-30 08:04:08.694150,7.7,2.6,6.9,2.3,2
41349,2024-07-30 08:04:07.655639,4.8,3.1,1.6,0.2,0
41348,2024-07-30 08:04:06.641658,5.1,2.5,3.0,1.1,1
